Datetime,Watts
21-05-2022 - 23:19:26.961,2259
21-05-2022 - 23:19:27.026,2426
21-05-2022 - 23:19:27.030,1912
21-05-2022 - 23:19:27.032,1340
21-05-2022 - 23:19:27.035,890
21-05-2022 - 23:19:27.037,574
21-05-2022 - 23:19:27.041,365
21-05-2022 - 23:19:27.044,229
21-05-2022 - 23:19:27.046,143
21-05-2022 - 23:19:27.048,89
21-05-2022 - 23:19:27.050,55
21-05-2022 - 23:19:27.052,34
21-05-2022 - 23:19:27.054,23
21-05-2022 - 23:19:27.057,17
21-05-2022 - 23:19:27.302,12
21-05-2022 - 23:19:27.550,10
21-05-2022 - 23:19:27.801,9
21-05-2022 - 23:19:28.051,12
21-05-2022 - 23:19:28.301,10
21-05-2022 - 23:19:28.551,10
21-05-2022 - 23:19:28.801,8
21-05-2022 - 23:19:29.054,10
21-05-2022 - 23:19:29.304,8
21-05-2022 - 23:19:29.553,8
21-05-2022 - 23:19:29.804,7
21-05-2022 - 23:19:30.054,8
21-05-2022 - 23:19:30.303,7
21-05-2022 - 23:19:30.553,7
21-05-2022 - 23:19:30.803,6
21-05-2022 - 23:19:31.052,6
21-05-2022 - 23:19:31.303,8
21-05-2022 - 23:19:31.553,9
21-05-2022 - 23:19:31.807,9
21-05-2022 - 23:19:32.056,9
21-05-2022 - 23:19:32.306,10
21-05-2022 - 23:19:32.555,4
21-05-2022 - 23:19:32.806,6
21-05-2022 - 23:19:33.056,8
21-05-2022 - 23:19:33.306,6
21-05-2022 - 23:19:33.555,9
21-05-2022 - 23:19:33.810,10
21-05-2022 - 23:19:34.059,11
21-05-2022 - 23:19:34.309,9
21-05-2022 - 23:19:34.559,9
21-05-2022 - 23:19:34.809,9
21-05-2022 - 23:19:35.058,10
21-05-2022 - 23:19:35.308,10
21-05-2022 - 23:19:35.558,10
21-05-2022 - 23:19:35.808,9
21-05-2022 - 23:19:36.058,8
21-05-2022 - 23:19:36.312,9
21-05-2022 - 23:19:36.562,10
21-05-2022 - 23:19:36.811,8
21-05-2022 - 23:19:37.061,8
21-05-2022 - 23:19:37.312,10
21-05-2022 - 23:19:37.561,11
21-05-2022 - 23:19:37.810,9
21-05-2022 - 23:19:38.065,8
21-05-2022 - 23:19:38.314,10
21-05-2022 - 23:19:38.564,10
21-05-2022 - 23:19:38.815,8
21-05-2022 - 23:19:39.064,5
21-05-2022 - 23:19:39.314,7
21-05-2022 - 23:19:39.563,6
21-05-2022 - 23:19:39.814,9
21-05-2022 - 23:19:40.063,10
21-05-2022 - 23:19:40.313,13
21-05-2022 - 23:19:40.568,12
21-05-2022 - 23:19:40.817,12
21-05-2022 - 23:19:41.067,11
21-05-2022 - 23:19:41.313,9
21-05-2022 - 23:19:41.567,9
21-05-2022 - 23:19:41.817,8
21-05-2022 - 23:19:42.067,7
21-05-2022 - 23:19:42.316,9
21-05-2022 - 23:19:42.566,11
21-05-2022 - 23:19:42.816,10
21-05-2022 - 23:19:43.066,8
21-05-2022 - 23:19:43.316,9
21-05-2022 - 23:19:43.569,8
21-05-2022 - 23:19:43.819,8
21-05-2022 - 23:19:44.069,9
21-05-2022 - 23:19:44.319,4
21-05-2022 - 23:19:44.568,8
21-05-2022 - 23:19:44.819,7
21-05-2022 - 23:19:45.068,7
21-05-2022 - 23:19:45.318,8
21-05-2022 - 23:19:45.568,9
21-05-2022 - 23:19:45.822,10
21-05-2022 - 23:19:46.072,10
21-05-2022 - 23:19:46.322,10
21-05-2022 - 23:19:46.572,9
21-05-2022 - 23:19:46.821,8
21-05-2022 - 23:19:47.071,11
21-05-2022 - 23:19:47.321,11
21-05-2022 - 23:19:47.571,9
21-05-2022 - 23:19:47.821,9
21-05-2022 - 23:19:48.071,10
21-05-2022 - 23:19:48.320,7
21-05-2022 - 23:19:48.570,6
21-05-2022 - 23:19:48.824,9
21-05-2022 - 23:19:49.074,10
21-05-2022 - 23:19:49.324,9
21-05-2022 - 23:19:49.573,9
21-05-2022 - 23:19:49.824,11
21-05-2022 - 23:19:50.073,10
21-05-2022 - 23:19:50.323,8
21-05-2022 - 23:19:50.574,9
21-05-2022 - 23:19:50.823,8
21-05-2022 - 23:19:51.073,9
21-05-2022 - 23:19:51.323,9
21-05-2022 - 23:19:51.577,8
21-05-2022 - 23:19:51.827,8
21-05-2022 - 23:19:52.076,10
21-05-2022 - 23:19:52.326,10
21-05-2022 - 23:19:52.577,9
21-05-2022 - 23:19:52.825,10
21-05-2022 - 23:19:53.080,11
21-05-2022 - 23:19:53.325,9
21-05-2022 - 23:19:53.575,7
21-05-2022 - 23:19:53.825,8
21-05-2022 - 23:19:54.079,7
21-05-2022 - 23:19:54.329,7
21-05-2022 - 23:19:54.578,9
21-05-2022 - 23:19:54.829,8
21-05-2022 - 23:19:55.078,9
21-05-2022 - 23:19:55.329,8
21-05-2022 - 23:19:55.578,9
21-05-2022 - 23:19:55.832,11
21-05-2022 - 23:19:56.083,10
21-05-2022 - 23:19:56.332,6
21-05-2022 - 23:19:56.581,10
21-05-2022 - 23:19:56.832,10
21-05-2022 - 23:19:57.086,11
