Datetime,Watts
18-06-2022 - 16:01:18.896,2252
18-06-2022 - 16:01:18.974,2418
18-06-2022 - 16:01:19.218,1903
18-06-2022 - 16:01:19.469,1334
18-06-2022 - 16:01:19.718,886
18-06-2022 - 16:01:19.968,572
18-06-2022 - 16:01:20.224,363
18-06-2022 - 16:01:20.474,228
18-06-2022 - 16:01:20.724,143
18-06-2022 - 16:01:20.974,90
18-06-2022 - 16:01:21.224,57
18-06-2022 - 16:01:21.474,39
18-06-2022 - 16:01:21.717,28
18-06-2022 - 16:01:21.967,22
18-06-2022 - 16:01:22.221,20
18-06-2022 - 16:01:22.471,18
18-06-2022 - 16:01:22.721,18
18-06-2022 - 16:01:22.971,17
18-06-2022 - 16:01:23.221,17
18-06-2022 - 16:01:23.471,17
18-06-2022 - 16:01:23.721,18
18-06-2022 - 16:01:23.971,17
18-06-2022 - 16:01:24.221,17
18-06-2022 - 16:01:24.471,18
18-06-2022 - 16:01:24.721,18
18-06-2022 - 16:01:24.970,16
18-06-2022 - 16:01:25.220,18
18-06-2022 - 16:01:25.475,18
18-06-2022 - 16:01:25.725,17
18-06-2022 - 16:01:25.974,18
18-06-2022 - 16:01:26.224,17
18-06-2022 - 16:01:26.475,17
18-06-2022 - 16:01:26.724,16
18-06-2022 - 16:01:26.974,17
18-06-2022 - 16:01:27.224,19
18-06-2022 - 16:01:27.474,17
18-06-2022 - 16:01:27.724,18
18-06-2022 - 16:01:27.974,17
18-06-2022 - 16:01:28.224,17
18-06-2022 - 16:01:28.474,17
18-06-2022 - 16:01:28.724,17
18-06-2022 - 16:01:28.974,16
18-06-2022 - 16:01:29.224,16
18-06-2022 - 16:01:29.474,17
18-06-2022 - 16:01:29.724,16
18-06-2022 - 16:01:29.974,18
18-06-2022 - 16:01:30.223,17
18-06-2022 - 16:01:30.473,18
18-06-2022 - 16:01:30.723,17
18-06-2022 - 16:01:30.973,17
18-06-2022 - 16:01:31.223,18
18-06-2022 - 16:01:31.473,18
18-06-2022 - 16:01:31.734,17
18-06-2022 - 16:01:31.986,18
18-06-2022 - 16:01:32.235,17
18-06-2022 - 16:01:32.483,17
18-06-2022 - 16:01:32.737,18
18-06-2022 - 16:01:32.986,18
18-06-2022 - 16:01:33.236,18
18-06-2022 - 16:01:33.486,17
18-06-2022 - 16:01:33.731,18
18-06-2022 - 16:01:33.981,19
18-06-2022 - 16:01:34.240,20
18-06-2022 - 16:01:34.486,19
18-06-2022 - 16:01:34.738,18
18-06-2022 - 16:01:34.993,18
18-06-2022 - 16:01:35.243,17
18-06-2022 - 16:01:35.493,17
18-06-2022 - 16:01:35.728,18
18-06-2022 - 16:01:35.984,19
18-06-2022 - 16:01:36.234,16
18-06-2022 - 16:01:36.484,15
18-06-2022 - 16:01:36.734,18
18-06-2022 - 16:01:36.984,19
18-06-2022 - 16:01:37.234,18
18-06-2022 - 16:01:37.486,18
18-06-2022 - 16:01:37.736,16
18-06-2022 - 16:01:37.986,16
18-06-2022 - 16:01:38.243,17
18-06-2022 - 16:01:38.493,16
18-06-2022 - 16:01:38.743,17
18-06-2022 - 16:01:38.993,17
18-06-2022 - 16:01:39.243,18
18-06-2022 - 16:01:39.493,16
18-06-2022 - 16:01:39.743,17
18-06-2022 - 16:01:39.993,16
18-06-2022 - 16:01:40.243,17
18-06-2022 - 16:01:40.493,17
18-06-2022 - 16:01:40.742,17
18-06-2022 - 16:01:40.992,17
18-06-2022 - 16:01:41.242,17
18-06-2022 - 16:01:41.492,18
18-06-2022 - 16:01:41.744,17
18-06-2022 - 16:01:41.994,18
18-06-2022 - 16:01:42.244,18
18-06-2022 - 16:01:42.494,18
18-06-2022 - 16:01:42.744,18
18-06-2022 - 16:01:42.994,18
18-06-2022 - 16:01:43.244,17
18-06-2022 - 16:01:43.494,17
18-06-2022 - 16:01:43.744,17
18-06-2022 - 16:01:43.994,17
18-06-2022 - 16:01:44.244,17
18-06-2022 - 16:01:44.493,16
18-06-2022 - 16:01:44.743,16
18-06-2022 - 16:01:44.993,17
18-06-2022 - 16:01:45.243,17
18-06-2022 - 16:01:45.493,17
18-06-2022 - 16:01:45.743,16
18-06-2022 - 16:01:45.993,16
18-06-2022 - 16:01:46.243,19
18-06-2022 - 16:01:46.507,19
18-06-2022 - 16:01:46.757,19
18-06-2022 - 16:01:47.003,19
18-06-2022 - 16:01:47.253,22
18-06-2022 - 16:01:47.506,21
18-06-2022 - 16:01:47.756,20
18-06-2022 - 16:01:48.009,19
18-06-2022 - 16:01:48.251,18
18-06-2022 - 16:01:48.495,17
18-06-2022 - 16:01:48.759,17
18-06-2022 - 16:01:49.009,15
18-06-2022 - 16:01:49.259,17
18-06-2022 - 16:01:49.509,18
18-06-2022 - 16:01:49.759,17
18-06-2022 - 16:01:50.008,18
18-06-2022 - 16:01:50.258,18
18-06-2022 - 16:01:50.508,18
