Datetime,Watts
21-05-2022 - 23:35:46.413,2252
21-05-2022 - 23:35:46.416,2418
21-05-2022 - 23:35:46.419,1903
21-05-2022 - 23:35:46.422,1334
21-05-2022 - 23:35:46.425,886
21-05-2022 - 23:35:46.428,572
21-05-2022 - 23:35:46.430,363
21-05-2022 - 23:35:46.433,228
21-05-2022 - 23:35:46.435,142
21-05-2022 - 23:35:46.438,89
21-05-2022 - 23:35:46.440,55
21-05-2022 - 23:35:46.445,35
21-05-2022 - 23:35:46.461,23
21-05-2022 - 23:35:46.498,17
21-05-2022 - 23:35:46.748,13
21-05-2022 - 23:35:46.998,11
21-05-2022 - 23:35:47.248,5
21-05-2022 - 23:35:47.497,5
21-05-2022 - 23:35:47.747,7
21-05-2022 - 23:35:47.997,9
21-05-2022 - 23:35:48.247,10
21-05-2022 - 23:35:48.501,10
21-05-2022 - 23:35:48.751,10
21-05-2022 - 23:35:49.000,13
21-05-2022 - 23:35:49.250,10
21-05-2022 - 23:35:49.500,11
21-05-2022 - 23:35:49.750,10
21-05-2022 - 23:35:50.000,11
21-05-2022 - 23:35:50.250,9
21-05-2022 - 23:35:50.500,6
21-05-2022 - 23:35:50.749,7
21-05-2022 - 23:35:51.000,10
21-05-2022 - 23:35:51.249,10
21-05-2022 - 23:35:51.499,8
21-05-2022 - 23:35:51.749,7
21-05-2022 - 23:35:52.003,9
21-05-2022 - 23:35:52.253,9
21-05-2022 - 23:35:52.503,10
21-05-2022 - 23:35:52.753,8
21-05-2022 - 23:35:53.003,10
21-05-2022 - 23:35:53.252,13
21-05-2022 - 23:35:53.502,11
21-05-2022 - 23:35:53.752,12
21-05-2022 - 23:35:54.006,11
21-05-2022 - 23:35:54.255,11
21-05-2022 - 23:35:54.505,10
21-05-2022 - 23:35:54.755,12
21-05-2022 - 23:35:55.004,11
21-05-2022 - 23:35:55.255,11
21-05-2022 - 23:35:55.504,9
21-05-2022 - 23:35:55.759,10
21-05-2022 - 23:35:56.004,10
21-05-2022 - 23:35:56.254,10
21-05-2022 - 23:35:56.508,10
21-05-2022 - 23:35:56.754,6
21-05-2022 - 23:35:57.007,10
21-05-2022 - 23:35:57.257,11
21-05-2022 - 23:35:57.507,11
21-05-2022 - 23:35:57.758,9
21-05-2022 - 23:35:58.007,12
21-05-2022 - 23:35:58.256,11
21-05-2022 - 23:35:58.507,11
21-05-2022 - 23:35:58.756,11
21-05-2022 - 23:35:59.006,13
21-05-2022 - 23:35:59.260,13
21-05-2022 - 23:35:59.510,10
21-05-2022 - 23:35:59.760,10
21-05-2022 - 23:36:00.010,9
21-05-2022 - 23:36:00.259,10
21-05-2022 - 23:36:00.510,10
21-05-2022 - 23:36:00.759,11
21-05-2022 - 23:36:01.009,11
21-05-2022 - 23:36:01.259,12
21-05-2022 - 23:36:01.510,11
21-05-2022 - 23:36:01.759,9
21-05-2022 - 23:36:02.009,8
21-05-2022 - 23:36:02.262,11
21-05-2022 - 23:36:02.513,12
21-05-2022 - 23:36:02.763,11
21-05-2022 - 23:36:03.012,11
21-05-2022 - 23:36:03.262,11
21-05-2022 - 23:36:03.512,9
21-05-2022 - 23:36:03.762,8
21-05-2022 - 23:36:04.016,12
21-05-2022 - 23:36:04.262,9
21-05-2022 - 23:36:04.515,9
21-05-2022 - 23:36:04.766,8
21-05-2022 - 23:36:05.015,11
21-05-2022 - 23:36:05.265,11
21-05-2022 - 23:36:05.514,11
21-05-2022 - 23:36:05.769,10
21-05-2022 - 23:36:06.018,11
21-05-2022 - 23:36:06.264,9
21-05-2022 - 23:36:06.518,10
21-05-2022 - 23:36:06.768,11
21-05-2022 - 23:36:07.017,12
21-05-2022 - 23:36:07.268,10
21-05-2022 - 23:36:07.518,11
21-05-2022 - 23:36:07.767,9
21-05-2022 - 23:36:08.017,10
21-05-2022 - 23:36:08.271,11
21-05-2022 - 23:36:08.521,10
21-05-2022 - 23:36:08.771,11
21-05-2022 - 23:36:09.020,9
21-05-2022 - 23:36:09.271,11
21-05-2022 - 23:36:09.520,11
