Datetime,Watts
17-06-2022 - 22:34:02.624,2266
17-06-2022 - 22:34:02.643,2433
17-06-2022 - 22:34:02.648,1917
17-06-2022 - 22:34:02.653,1344
17-06-2022 - 22:34:02.658,892
17-06-2022 - 22:34:02.664,576
17-06-2022 - 22:34:02.669,366
17-06-2022 - 22:34:02.672,230
17-06-2022 - 22:34:02.675,143
17-06-2022 - 22:34:02.680,89
17-06-2022 - 22:34:02.683,55
17-06-2022 - 22:34:02.688,35
17-06-2022 - 22:34:02.707,23
17-06-2022 - 22:34:02.713,16
17-06-2022 - 22:34:02.748,14
17-06-2022 - 22:34:02.753,13
17-06-2022 - 22:34:02.779,12
17-06-2022 - 22:34:02.785,11
17-06-2022 - 22:34:02.809,13
17-06-2022 - 22:34:02.815,13
17-06-2022 - 22:34:02.841,13
17-06-2022 - 22:34:02.847,13
17-06-2022 - 22:34:02.861,12
17-06-2022 - 22:34:02.868,11
17-06-2022 - 22:34:02.889,10
17-06-2022 - 22:34:02.895,12
17-06-2022 - 22:34:02.900,12
17-06-2022 - 22:34:02.916,13
17-06-2022 - 22:34:02.922,11
17-06-2022 - 22:34:02.946,9
17-06-2022 - 22:34:02.956,6
17-06-2022 - 22:34:02.967,10
17-06-2022 - 22:34:02.979,13
17-06-2022 - 22:34:02.988,11
17-06-2022 - 22:34:02.995,11
17-06-2022 - 22:34:03.003,13
17-06-2022 - 22:34:03.026,12
17-06-2022 - 22:34:03.034,10
17-06-2022 - 22:34:03.044,10
17-06-2022 - 22:34:03.053,10
17-06-2022 - 22:34:03.061,10
17-06-2022 - 22:34:03.068,10
17-06-2022 - 22:34:03.078,8
17-06-2022 - 22:34:03.087,11
17-06-2022 - 22:34:03.097,11
17-06-2022 - 22:34:03.106,10
17-06-2022 - 22:34:03.115,8
17-06-2022 - 22:34:03.123,10
17-06-2022 - 22:34:03.134,11
17-06-2022 - 22:34:03.150,13
17-06-2022 - 22:34:03.164,11
17-06-2022 - 22:34:03.177,13
17-06-2022 - 22:34:03.187,12
17-06-2022 - 22:34:03.196,11
17-06-2022 - 22:34:03.202,11
17-06-2022 - 22:34:03.224,14
17-06-2022 - 22:34:03.474,12
17-06-2022 - 22:34:03.724,12
17-06-2022 - 22:34:03.974,10
17-06-2022 - 22:34:04.224,12
17-06-2022 - 22:34:04.474,14
17-06-2022 - 22:34:04.728,13
17-06-2022 - 22:34:04.978,11
17-06-2022 - 22:34:05.227,10
17-06-2022 - 22:34:05.477,9
17-06-2022 - 22:34:05.727,10
17-06-2022 - 22:34:05.977,11
17-06-2022 - 22:34:06.227,10
17-06-2022 - 22:34:06.477,11
17-06-2022 - 22:34:06.727,9
17-06-2022 - 22:34:06.977,11
17-06-2022 - 22:34:07.226,8
17-06-2022 - 22:34:07.476,8
17-06-2022 - 22:34:07.723,10
17-06-2022 - 22:34:07.980,10
17-06-2022 - 22:34:08.230,10
17-06-2022 - 22:34:08.479,11
17-06-2022 - 22:34:08.729,8
17-06-2022 - 22:34:08.983,11
17-06-2022 - 22:34:09.233,11
17-06-2022 - 22:34:09.483,8
17-06-2022 - 22:34:09.732,10
17-06-2022 - 22:34:09.982,10
17-06-2022 - 22:34:10.233,10
17-06-2022 - 22:34:10.482,10
17-06-2022 - 22:34:10.731,8
17-06-2022 - 22:34:10.986,10
17-06-2022 - 22:34:11.236,5
17-06-2022 - 22:34:11.486,9
17-06-2022 - 22:34:11.736,11
17-06-2022 - 22:34:11.986,8
17-06-2022 - 22:34:12.235,10
17-06-2022 - 22:34:12.485,9
17-06-2022 - 22:34:12.738,13
17-06-2022 - 22:34:12.985,13
17-06-2022 - 22:34:13.235,13
17-06-2022 - 22:34:13.488,13
17-06-2022 - 22:34:13.738,12
17-06-2022 - 22:34:13.988,12
17-06-2022 - 22:34:14.238,12
17-06-2022 - 22:34:14.488,13
17-06-2022 - 22:34:14.738,12
17-06-2022 - 22:34:14.988,11
17-06-2022 - 22:34:15.238,12
17-06-2022 - 22:34:15.488,11
17-06-2022 - 22:34:15.737,10
17-06-2022 - 22:34:15.987,10
17-06-2022 - 22:34:16.241,11
17-06-2022 - 22:34:16.491,12
17-06-2022 - 22:34:16.741,13
17-06-2022 - 22:34:16.990,11
17-06-2022 - 22:34:17.240,9
17-06-2022 - 22:34:17.490,11
17-06-2022 - 22:34:17.740,11
17-06-2022 - 22:34:17.990,8
17-06-2022 - 22:34:18.239,9
17-06-2022 - 22:34:18.493,12
17-06-2022 - 22:34:18.743,12
17-06-2022 - 22:34:18.993,13
17-06-2022 - 22:34:19.243,13
17-06-2022 - 22:34:19.493,11
17-06-2022 - 22:34:19.743,12
17-06-2022 - 22:34:19.992,11
17-06-2022 - 22:34:20.242,13
17-06-2022 - 22:34:20.492,12
17-06-2022 - 22:34:20.742,11
17-06-2022 - 22:34:20.992,10
17-06-2022 - 22:34:21.241,10
17-06-2022 - 22:34:21.495,8
17-06-2022 - 22:34:21.746,10
17-06-2022 - 22:34:21.995,9
17-06-2022 - 22:34:22.245,8
17-06-2022 - 22:34:22.494,10
17-06-2022 - 22:34:22.745,9
17-06-2022 - 22:34:22.995,12
